 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z  tube_rho  drift_radius  
 1272  42883   42274   72           0                  5           2          2             150080  155608    347           
 1272  42888   42279   50           50                 2           1          1             106672  111447    353           
 1272  42910   42301   25           25                 0           2          0             71097   76334     365           
 1264  42911   42302   202          34                 0           4          1             402316  110615    439           
 1264  42953   42344   274          2                  1           5          2             542725  148807    447           
 1264  42958   42349   214          6                  4           5          1             427534  117416    451           
 1272  42983   42374   136          64                 1           2          2             274064  148807    380           
 1272  42995   42386   136          64                 2           2          2             273103  149223    384           
 1264  42998   42389   133          1                  5           5          0             295043  81200     466           
 1272  43162   42553   70           70                 2           1          2             145116  149223    436           
 1272  43171   42562   56           26                 1           2          0             130938  76751     445           
 1272  43173   42564   58           28                 1           2          0             134782  76751     445           
 1272  43211   42602   29           29                 6           2          0             77824   81616     455           
 1272  43213   42604   27           27                 3           2          0             73980   77583     456           
 1272  43248   42639   53           53                 3           1          1             112438  117000    462           
 1272  43257   42648   52           52                 3           1          1             110516  117000    465           
 1655  54652   54043   51           51                 4           1          1             109555  117416    9             
 1655  54654   54045   57           1                  0           2          1             121282  110615    7             
 1655  54689   54080   57           57                 3           1          2             120127  154776    47            
 1655  54699   54090   20           20                 5           2          0             61485   81200     80            
 1655  54707   54098   41           41                 5           1          1             89371   117832    79            
 1655  54714   54105   35           5                  6           2          0             90571   81616     92            
 1655  54719   54110   32           2                  2           2          0             85765   77167     100           
 1655  54721   54112   19           19                 1           2          0             58602   76751     108           
 1655  54725   54116   38           38                 0           1          1             83605   110615    102           
 1655  54725   54116   61           5                  5           2          1             128971  117832    91            
 1655  54727   54118   81           9                  5           2          2             167380  155608    79            
 1655  54733   54124   54           54                 1           1          2             115322  148807    100           
 1655  54762   54153   32           2                  1           2          0             84804   76751     147           
 1655  54766   54157   77           5                  0           2          2             159691  148391    127           
 1655  54776   54167   34           4                  5           2          0             89610   81200     159           
 1655  54778   54169   77           5                  1           2          2             160652  148807    140           
 1655  54791   54182   60           4                  4           2          1             128010  117416    163           
 1655  54816   54207   19           19                 3           2          0             58602   77583     198           
 1655  54832   54223   80           8                  4           2          2             166419  155192    187           
 1655  54839   54230   38           38                 1           1          1             84566   111031    208           
 1655  54842   54233   54           54                 0           1          2             114360  148391    204           
 1655  54866   54257   18           18                 0           2          0             57641   76334     232           
 1655  54909   54300   41           41                 3           1          1             89371   117000    251           
 1655  54920   54311   21           21                 6           2          0             62447   81616     262           
 1655  54945   54336   57           1                  1           2          1             122243  111031    267           
 1655  54945   54336   57           57                 4           1          2             121088  155192    265           
 1655  55032   54423   34           4                  4           2          0             88648   80783     314           
 1655  55082   54473   35           5                  7           2          0             91532   82032     332           
 1655  55104   54495   33           3                  3           2          0             86726   77583     341           
 1655  55165   54556   20           20                 7           2          0             61485   82032     365           
 1655  55226   54617   40           40                 4           1          1             88410   117416    382           
 1655  55228   54619   58           58                 5           1          2             122049  155608    379           
 1655  55248   54639   20           20                 4           2          0             60524   80783     392           
 1655  55250   54641   31           1                  0           2          0             83843   76334     392           
 1655  55261   54652   57           57                 5           1          2             120127  155608    390           
 1655  55280   54671   55           55                 2           1          2             116283  149223    397           
 1655  55288   54679   78           6                  2           2          2             161613  149223    396           
 1655  55303   54694   57           1                  2           2          1             121282  111447    405           
 1655  55339   54730   38           38                 2           1          1             83605   111447    418           
 1655  55350   54741   60           4                  3           2          1             127048  117000    418           
 1655  55352   54743   19           19                 2           2          0             59563   77167     424           
 1655  55467   54858   80           8                  3           2          2             165457  154776    448           
 1910  62810   62201   80           14                 2           3          0             179232  77167     18            
 1910  62813   62204   80           14                 1           3          0             178271  76751     22            
 1910  62823   62214   81           15                 3           3          0             180193  77583     34            
 1910  62825   62216   147          3                  0           3          2             295366  148391    7             
 1910  62830   62221   79           13                 0           3          0             177310  76334     43            
 1910  62837   62228   120          8                  1           3          1             244499  111031    38            
 1910  62844   62235   130          18                 3           3          1             262760  117000    40            
 1910  62854   62245   126          14                 5           3          1             255071  117832    55            
 1910  62867   62258   130          18                 4           3          1             263721  117416    66            
 1910  62873   62264   173          29                 5           3          2             345344  155608    66            
 1910  62888   62279   131          19                 5           3          1             264682  117832    91            
 1910  62898   62289   120          8                  0           3          1             243537  110615    110           
 1910  62913   62304   77           11                 0           3          0             173465  76334     136           
 1910  62921   62312   166          22                 2           3          2             331889  149223    116           
 1910  62925   62316   78           12                 1           3          0             174426  76751     148           
 1910  62941   62332   165          21                 1           3          2             330928  148807    139           
 1910  62942   62333   78           12                 2           3          0             175388  77167     164           
 1910  62954   62345   121          9                  2           3          1             245460  111447    167           
 1910  62968   62359   79           13                 3           3          0             176349  77583     186           
 1910  62968   62359   165          21                 0           3          2             329967  148391    165           
 1910  62998   62389   125          13                 4           3          1             254110  117416    201           
 1910  63011   62402   151          7                  5           3          2             303055  155608    204           
 1910  63043   62434   123          11                 0           3          1             249304  110615    230           
 1910  63063   62454   172          28                 4           3          2             344383  155192    233           
 1910  63064   62455   147          3                  1           3          2             296327  148807    239           
 1910  63070   62461   151          7                  3           3          2             303055  154776    241           
 1910  63083   62474   123          11                 1           3          1             250265  111031    254           
 1910  63111   62502   172          28                 3           3          2             343422  154776    261           
 1910  63135   62526   124          12                 2           3          1             251226  111447    280           
 1910  63300   62691   125          13                 3           3          1             253149  117000    350           
 1910  63316   62707   85           19                 4           3          0             187882  80783     360           
 1910  63323   62714   83           17                 7           3          0             184999  82032     361           
 1910  63367   62758   83           17                 6           3          0             184038  81616     377           
 1910  63404   62795   85           19                 5           3          0             188843  81200     389           
 1910  63420   62811   85           19                 7           3          0             188843  82032     394           
 1910  63423   62814   82           16                 5           3          0             183076  81200     395           
 1910  63458   62849   82           16                 4           3          0             182115  80783     406           
 1910  63515   62906   86           20                 6           3          0             189804  81616     423           
 1910  63533   62924   85           19                 6           3          0             187882  81616     428           
 1910  63544   62935   83           17                 4           3          0             184038  80783     431           
 1910  63586   62977   83           17                 5           3          0             184999  81200     443           
 1910  63587   62978   150          6                  4           3          2             302094  155192    438           
 1910  63632   63023   86           20                 7           3          0             190765  82032     456           
 1910  63636   63027   147          3                  2           3          2             295366  149223    451           
 1910  63641   63032   84           18                 5           3          0             186921  81200     458           
 1910  63641   63032   84           18                 6           3          0             185960  81616     457           
 1948  64063   63454   92           26                 0           3          0             202299  76334     64            
 1948  64100   63491   196          52                 1           3          2             390517  148807    79            
 1948  64110   63501   154          42                 3           3          1             308894  117000    104           
 1948  64115   63506   93           27                 1           3          0             203260  76751     124           
 1948  64154   63545   154          42                 4           3          1             309855  117416    152           
 1948  64168   63559   93           27                 2           3          0             204221  77167     176           
 1948  64216   63607   155          43                 5           3          1             310816  117832    204           
 1948  64253   63644   94           28                 3           3          0             205182  77583     236           
 1948  64380   63771   204          4                  3           4          2             406088  154776    290           
 1948  64445   63836   147          35                 2           3          1             295438  111447    324           
 1948  64477   63868   196          52                 0           3          2             389556  148391    332           
 1948  64491   63882   204          4                  4           4          2             407050  155192    337           
 1948  64588   63979   146          34                 1           3          1             294477  111031    376           
 1948  64597   63988   145          33                 0           3          1             291593  110615    379           
 1948  64618   64009   205          5                  5           4          2             408011  155608    382           
 1948  64638   64029   198          54                 2           3          2             393400  149223    389           
 1948  64745   64136   197          53                 2           3          2             391478  149223    422           
 1948  64751   64142   146          34                 0           3          1             293516  110615    427           
 1948  64770   64161   145          33                 1           3          1             292555  111031    432           
 1948  64774   64165   197          53                 1           3          2             392439  148807    430           
 1948  64774   64165   206          6                  5           4          2             409933  155608    429           
 2136  70045   69436   114          18                 2           4          0             257321  77167     18            
 2136  70077   69468   258          58                 5           4          2             509889  155608    23            
 2136  70083   69474   194          26                 4           4          1             387899  117416    46            
 2136  70092   69483   122          26                 6           4          0             271738  81616     72            
 2136  70101   69492   95           29                 7           3          0             208066  82032     85            
 2136  70101   69492   279          31                 1           6          1             553670  111031    56            
 2136  70102   69493   94           28                 5           3          0             206143  81200     88            
 2136  70106   69497   246          46                 0           4          2             486823  148391    60            
