ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
9355,292,11,46,286,3,3,6,1,-9056,7312,227.76617431640625,51,34618925,3,10,4,542.5,38.82755661010742
9359,292,15,43,91,3,5,2,2,-3606,9673,85.28179931640625,0,70270506,5,10,5,542.5,34.436927795410156
9379,293,3,2,322,3,5,6,2,-10615,9673,237.4385986328125,51,68173313,5,0,3,542.5,47.905181884765625
9382,293,6,7,169,6,1,6,0,-5665,5101,262.25885009765625,51,1064710,1,2,10,542.5,25.42865753173828
9407,293,31,6,168,4,1,6,0,-5635,5048,281.9805908203125,51,1064453,1,0,19,542.5,25.238168716430664
9425,294,17,30,78,3,3,2,1,-2736,7312,145.2379150390625,0,36716061,3,6,4,542.5,26.043365478515625
9428,294,20,40,240,1,3,5,1,-7671,6939,289.119873046875,51,35142823,2,9,10,542.5,34.505157470703125
9434,294,26,36,276,5,3,6,1,-8756,7364,290.14776611328125,51,34619171,3,8,23,542.5,38.16473388671875
9448,295,8,25,157,0,1,5,0,-5300,4770,315.4613037109375,51,1588248,0,9,19,542.5,23.788719177246094
9456,295,16,22,52,5,1,2,0,-1910,5075,177.4114990234375,0,3161749,1,6,17,542.5,18.088491439819336
9471,295,31,26,158,0,1,5,0,-5330,4770,333.35546875,51,1588249,0,9,18,542.5,23.863279342651367
9474,296,2,15,255,5,3,6,1,-8125,7364,322.9827880859375,51,34619150,3,2,18,542.5,36.57968521118164
9497,296,25,48,288,5,3,6,1,-9116,7364,338.43878173828125,51,34619183,3,10,16,542.5,39.09246826171875
9506,297,2,19,49,1,1,2,0,-1805,4796,217.46563720703125,0,3161234,1,7,13,542.5,17.09688377380371
9533,297,29,5,167,4,1,6,0,-5605,5048,380.49261474609375,51,1064452,1,0,21,542.5,25.16364097595215
9534,297,30,31,271,4,3,6,1,-8621,7338,368.6729736328125,51,34619038,3,6,10,542.5,37.764522552490234
9553,298,17,35,275,4,3,6,1,-8741,7338,383.210693359375,51,34619042,3,8,13,542.5,38.0705680847168
9553,298,17,25,73,0,3,2,1,-2585,6913,246.66015625,0,36715544,3,7,1,542.5,24.621110916137695
9562,298,26,8,170,6,1,6,0,-5695,5101,402.809326171875,51,1064711,1,2,8,542.5,25.503198623657227
9570,299,2,39,87,2,5,2,2,-3486,9326,251.3502197265625,0,70270246,5,9,20,542.5,33.212284088134766
9592,299,24,11,251,5,3,6,1,-8005,7364,415.46624755859375,51,34619146,3,2,21,542.5,36.28375244140625
9592,299,24,10,250,5,3,6,1,-7975,7364,415.5399169921875,51,34619145,3,2,19,542.5,36.2100830078125
9600,300,0,18,258,1,3,6,1,-8230,6939,422.08966064453125,51,34618513,3,5,11,542.5,35.91033935546875
9611,300,11,43,91,4,5,2,2,-3621,9699,282.05804443359375,0,70270634,5,10,13,542.5,34.535728454589844
9644,301,12,28,160,2,1,5,0,-5390,4822,468.2467041015625,51,1588507,0,9,10,542.5,24.128313064575195
9663,301,31,3,323,3,5,6,2,-10645,9673,459.239501953125,51,68173314,5,0,5,542.5,47.979278564453125
9669,302,5,19,49,3,1,2,0,-1805,4848,344.6468505859375,0,3161490,1,7,1,542.5,17.2593936920166
9681,302,17,37,277,3,3,6,1,-8786,7312,483.1510009765625,51,34618916,3,8,6,542.5,38.13022232055664
9745,304,17,35,275,3,3,6,1,-8726,7312,533.3048095703125,51,34618914,3,8,5,542.5,37.9764289855957
9749,304,21,22,52,7,1,2,0,-1910,5127,406.1552734375,0,3162005,1,6,5,542.5,18.250991821289062
9750,304,22,29,269,0,3,6,1,-8545,6913,13.52130126953125,9,34618396,3,7,6,542.5,36.66621398925781
9756,304,28,13,253,3,3,6,1,-8065,7312,543.560302734375,51,34618892,3,2,6,542.5,36.3146858215332
9758,304,30,62,310,2,5,5,2,-10237,9326,535.2437133789062,51,68697405,4,15,16,542.5,46.19376754760742
9772,305,12,26,188,5,1,6,0,-6250,5075,40.51751708984375,9,1064601,1,8,14,542.5,26.85747528076172
9772,305,12,27,267,4,3,6,1,-8500,7338,554.9147338867188,51,34619034,3,6,13,542.5,37.46026611328125
9776,305,16,52,372,5,5,6,2,-12116,9725,18.6737060546875,9,68173619,5,12,23,542.5,51.8263053894043
9787,305,27,35,355,2,5,6,2,-11606,9326,29.42889404296875,9,68173090,5,9,21,542.5,49.66486740112305
9798,306,6,31,271,2,3,6,1,-8606,6965,50.75634765625,9,34618654,3,7,20,542.5,36.93113327026367
9799,306,7,48,288,5,3,6,1,-9116,7364,49.37628173828125,9,34619183,3,10,16,542.5,39.09246826171875
9799,306,7,15,177,1,1,6,0,-5905,4796,63.09039306640625,9,1064078,1,5,14,542.5,25.378381729125977
9803,306,11,23,53,6,1,2,0,-1925,5101,448.4063720703125,0,3161878,1,6,7,542.5,18.187347412109375
9825,307,1,33,353,0,5,6,2,-11546,9274,59.38128662109375,9,68172832,5,9,1,542.5,49.39997863769531
9832,307,8,36,276,4,3,6,1,-8771,7338,601.1026611328125,51,34619043,3,8,15,542.5,38.1473503112793
9833,307,9,50,370,3,5,6,2,-12056,9673,63.4698486328125,9,68173361,5,12,3,542.5,51.561424255371094
9840,307,16,28,190,7,1,6,0,-6310,5127,93.3775634765625,9,1064859,1,8,5,542.5,27.12240982055664
9858,308,2,16,178,2,1,6,0,-5950,4822,109.01275634765625,9,1064207,1,5,10,542.5,25.549747467041016
9877,308,21,17,179,3,1,6,0,-5965,4848,123.762939453125,9,1064336,1,5,3,542.5,25.64331817626953
9889,309,1,46,286,4,3,6,1,-9071,7338,119.86016845703125,9,34619053,3,10,12,542.5,38.92105484008789
9899,309,11,19,49,2,1,2,0,-1820,4822,524.3980102539062,0,3161362,1,7,7,542.5,17.19573974609375
9899,309,11,46,286,3,3,6,1,-9056,7312,127.76617431640625,9,34618925,3,10,4,542.5,38.82755661010742
