 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 2298  75680   1    1        0      0.510365843773   973.942810059  20      0       5            2725    3653    3998    5209    2602   
 2311  76096   1    1        0      0.326305925846   613.851379395  20      0       5            1687    2271    2483    3225    23005  
 2323  76480   1    1        0      0.123778738081   906.019836426  20      0       5            644     836     889     1130    18421  
 2333  76800   1    1        0      0.451577246189   798.399291992  20      1       5            2385    3214    3574    4786    14928  
 2351  77376   1    1        0      0.498421788216   755.079589844  20      1       5            2659    3505    3892    5174    3712   
 2353  77440   1    1        0      0.838169038296   720.374389648  20      1       2            4799    6496    0       9502    7674   
 2364  77792   1    1        0      0.741404235363   543.047424316  20      0       2            4137    5526    0       7849    19799  
 2375  78144   1    1        0      0.926449716091   846.111877441  20      0       2            5431    7261    0       10335   24361  
 2385  78464   1    1        0      0.673964977264   669.91015625   20      0       5            3709    4887    5364    6952    2228   
 2399  78912   1    1        0      0.667417168617   661.267211914  20      0       5            3665    4848    5335    7088    20562  
 2400  78944   1    1        0      0.226032346487   927.477050781  20      1       5            1171    1580    1779    2409    9084   
 2421  79616   1    1        0      0.595820128918   918.854492188  20      0       5            3231    4276    4675    6055    4258   
 2463  80960   1    1        0      0.471760749817   811.433410645  20      0       5            2495    3320    3653    4786    6045   
 2503  82240   1    1        0      0.518415391445   703.117919922  20      0       5            2761    3680    4051    5280    19724  
 2508  82400   1    1        0      0.0639600604773  684.824951172  20      1       4            0       439     492     671     4745   
 2573  84480   1    1        0      0.42804479599    677.432006836  20      1       5            2261    3028    3346    4539    5628   
 2583  84800   1    1        0      0.91335940361    720.462524414  20      1       2            5329    7172    0       10437   12334  
 2590  85024   1    1        0      0.804882228374   605.017028809  20      1       5            4556    6144    6731    8979    23304  
 2602  85408   1    1        0      0.888921976089   846.017211914  20      0       3            5159    0       7511    9740    21467  
 2684  88032   1    1        0      0.518337488174   694.516967773  20      0       5            2769    3733    4104    5349    14091  
 2686  88096   1    1        0      0.536658525467   733.440429688  20      0       5            2871    3839    4223    5560    21298  
 2699  88512   1    1        0      0.482404351234   802.717773438  20      1       5            2554    3426    3786    5050    11361  
 2722  89248   1    1        0      0.899280130863   617.68572998   20      0       5            5219    6967    7555    9825    12388  
 2744  89952   1    1        0      0.221824362874   998.847717285  20      0       5            1135    1514    1660    2112    16093  
 2748  90080   1    1        0      0.196301430464   927.438049316  20      1       1            1014    1381    1540    0       10294  
 2769  90752   1    1        0      0.251436978579   914.774230957  20      0       5            1296    1726    1900    2494    13838  
 2775  90944   1    1        0      0.559368729591   858.963928223  20      1       5            2996    4011    4384    5825    12999  
 2783  91200   1    1        0      0.0253874622285  563.200073242  20      0       4            0       174     200     212     970    
 2785  91264   1    1        0      0.657052397728   769.032592773  20      1       5            3599    4781    5291    7054    8168   
