 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 2964  96658   336          16                 2           6          2             -708196  149223    420           
 2964  96658   336          16                 2           6          2             -708196  149223    420           
 2964  96683   191          29                 7           6          0             -407747  82032     435           
 2964  96683   191          29                 7           6          0             -407747  82032     435           
 2964  96706   178          16                 0           6          0             -382757  76334     442           
 2964  96706   178          16                 0           6          0             -382757  76334     442           
 2964  96776   280          40                 4           6          1             -570971  117416    457           
 2964  96776   280          40                 4           6          1             -570971  117416    457           
 3131  101268  196          34                 1           6          0             -416397  76751     0             
 3131  101268  196          34                 1           6          0             -416397  76751     0             
 3131  101369  194          32                 0           6          0             -413513  76334     121           
 3131  101369  194          32                 0           6          0             -413513  76334     121           
 3131  101372  197          35                 2           6          0             -419280  77167     124           
 3131  101372  197          35                 2           6          0             -419280  77167     124           
 3131  101953  196          34                 2           6          0             -417358  77167     414           
 3131  101953  196          34                 2           6          0             -417358  77167     414           
 3131  101996  195          33                 0           6          0             -415436  76334     426           
 3131  101996  195          33                 0           6          0             -415436  76334     426           
 3182  102925  62           32                 6           2          0             -142472  81616     49            
 3182  102931  102          54                 1           2          2             -254843  148807    39            
 3182  102942  62           32                 7           2          0             -143433  82032     69            
 3182  102986  103          55                 2           2          2             -255804  149223    103           
 3182  102988  92           44                 5           2          1             -203939  117832    113           
 3182  102999  86           38                 0           2          1             -192406  110615    127           
 3182  103031  61           31                 5           2          0             -141511  81200     166           
 3182  103054  102          54                 0           2          2             -253881  148391    173           
 3182  103088  57           27                 0           2          0             -133822  76334     212           
 3182  103142  108          60                 5           2          2             -265415  155608    235           
 3182  103150  91           43                 4           2          1             -202978  117416    244           
 3182  103163  86           38                 1           2          1             -193367  111031    253           
 3182  103185  61           31                 4           2          0             -140550  80783     268           
 3182  103290  58           28                 1           2          0             -134783  76751     317           
 3182  103373  58           28                 3           2          0             -134783  77583     349           
 3182  103420  91           43                 3           2          1             -202017  117000    363           
 3182  103429  87           39                 2           2          1             -194328  111447    366           
 3182  103446  107          59                 4           2          2             -264454  155192    369           
 3182  103450  92           44                 4           2          1             -204900  117416    371           
 3182  103517  108          60                 3           2          2             -265415  154776    392           
 3182  103614  58           28                 2           2          0             -135744  77167     427           
 3182  103725  57           27                 2           2          0             -133822  77167     457           
 3232  104525  62           32                 6           2          0             -142472  81616     49            
