 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 1367  45637   45028   170          8                  2           6          0             -367380  77167     216           
 1367  45645   45036   18           18                 3           1          1             -60521   117000    218           
 1367  45668   45059   11           11                 6           2          0             -43225   81616     239           
 1367  45705   45096   272          32                 5           6          1             -554632  117832    248           
 1367  45708   45099   339          19                 4           6          2             -714924  155192    242           
 1367  45713   45104   255          15                 1           6          1             -522915  111031    254           
 1367  45722   45113   16           16                 1           1          1             -57637   111031    264           
 1367  45740   45131   327          7                  2           6          2             -690896  149223    261           
 1367  45823   45214   10           10                 2           1          2             -75863   149223    306           
 1367  45832   45223   9            9                  0           2          0             -40342   76334     320           
 1367  45834   45225   17           17                 0           1          1             -58599   110615    316           
 1367  45908   45299   11           11                 5           2          0             -44186   81200     349           
 1367  46049   45440   256          16                 1           6          1             -524837  111031    390           
 1367  46087   45478   271          31                 5           6          1             -552710  117832    401           
 1367  46091   45482   171          9                  2           6          0             -369302  77167     407           
 1367  46093   45484   326          6                  2           6          2             -688974  149223    400           
 1367  46103   45494   18           18                 5           1          1             -60521   117832    409           
 1367  46143   45534   10           10                 2           2          0             -42264   77167     425           
 1367  46163   45554   179          17                 4           6          0             -383719  80783     428           
 1367  46168   45559   340          20                 4           6          2             -716846  155192    421           
 1367  46180   45571   169          7                  0           6          0             -365457  76334     434           
 1367  46240   45631   181          19                 6           6          0             -387563  81616     450           
 1367  46270   45661   269          29                 3           6          1             -548865  117000    454           
 1495  49542   48933   146          42                 1           3          1             -309856  111031    17            
 1495  49554   48945   156          24                 4           5          0             -338294  80783     40            
 1495  49557   48948   225          25                 1           5          1             -464058  111031    31            
 1495  49564   48955   148          16                 2           5          0             -323877  77167     54            
 1495  49565   48956   189          13                 2           4          2             -423390  149223    32            
 1495  49567   48958   302          54                 3           5          2             -641721  154776    21            
 1495  49579   48970   289          41                 1           5          2             -617693  148807    41            
 1495  49587   48978   188          12                 0           4          2             -421467  148391    55            
 1495  49603   48994   146          42                 0           3          1             -308895  110615    89            
 1495  49607   48998   157          53                 5           3          1             -330039  117832    91            
 1495  49615   49006   157          25                 4           5          0             -340216  80783     111           
 1495  49629   49020   147          43                 2           3          1             -310817  111447    119           
 1495  49631   49022   238          38                 3           5          1             -488086  117000    115           
 1495  49636   49027   158          26                 7           5          0             -343100  82032     134           
 1495  49637   49028   157          25                 5           5          0             -341178  81200     136           
 1495  49641   49032   158          26                 6           5          0             -342139  81616     141           
 1495  49647   49038   155          23                 4           5          0             -336372  80783     146           
 1495  49650   49041   97           1                  4           4          0             -223683  80783     153           
 1495  49690   49081   146          14                 0           5          0             -320033  76334     187           
 1495  49703   49094   188          12                 1           4          2             -422428  148807    179           
 1495  49711   49102   160          28                 6           5          0             -345983  81616     200           
 1495  49716   49107   198          22                 3           4          2             -440690  154776    188           
 1495  49722   49113   304          56                 5           5          2             -645566  155608    189           
 1495  49723   49114   156          52                 4           3          1             -329078  117416    203           
 1495  49726   49117   148          16                 1           5          0             -322916  76751     213           
 1495  49753   49144   97           1                  5           4          0             -224644  81200     231           
 1495  49760   49151   290          42                 2           5          2             -618655  149223    218           
 1495  49771   49162   226          26                 2           5          1             -465019  111447    234           
 1495  49800   49191   159          27                 7           5          0             -345022  82032     257           
 1495  49805   49196   302          54                 4           5          2             -642683  155192    244           
 1495  49875   49266   225          25                 0           5          1             -463096  110615    289           
 1495  49886   49277   160          28                 7           5          0             -346944  82032     298           
 1495  49902   49293   239          39                 4           5          1             -490969  117416    300           
 1495  49902   49293   289          41                 0           5          2             -616732  148391    295           
 1495  49903   49294   156          52                 3           3          1             -328117  117000    302           
 1495  49913   49304   98           2                  6           4          0             -225605  81616     312           
 1495  49939   49330   149          17                 3           5          0             -324839  77583     322           
 1495  49945   49336   198          22                 4           4          2             -441651  155192    315           
 1495  49951   49342   200          24                 5           4          2             -444534  155608    317           
 1495  49997   49388   150          18                 3           5          0             -326761  77583     345           
 1495  50032   49423   156          24                 5           5          0             -339255  81200     357           
 1495  50090   49481   238          38                 4           5          1             -489047  117416    372           
 1495  50119   49510   224          24                 0           5          1             -461174  110615    383           
 1495  50125   49516   288          40                 0           5          2             -614810  148391    380           
 1495  50136   49527   98           2                  7           4          0             -226566  82032     393           
 1495  50151   49542   99           3                  7           4          0             -228488  82032     397           
 1495  50318   49709   227          27                 2           5          1             -466941  111447    442           
 1495  50318   49709   303          55                 4           5          2             -644605  155192    438           
 1495  50322   49713   199          23                 5           4          2             -442612  155608    440           
 1495  50346   49737   147          15                 1           5          0             -320994  76751     454           
 1495  50346   49737   199          23                 4           4          2             -443573  155192    447           
 1495  50379   49770   240          0                  5           6          1             -493120  117832    458           
 1495  50406   49797   291          43                 2           5          2             -620577  149223    462           
 1495  50412   49803   190          14                 2           4          2             -425312  149223    465           
 2737  89296   88687   135          3                  5           5          0             -298888  81200     35            
 2737  89300   88691   200          0                  2           5          1             -415040  111447    25            
 2737  89304   88695   129          33                 3           4          0             -285194  77583     46            
 2737  89318   88709   263          15                 2           5          2             -566754  149223    28            
 2737  89319   88710   213          13                 5           5          1             -440030  117832    44            
 2737  89338   88729   126          30                 0           4          0             -280389  76334     86            
 2737  89343   88734   199          39                 0           4          1             -411928  110615    75            
 2737  89409   88800   275          27                 4           5          2             -590782  155192    130           
 2737  89414   88805   261          13                 0           5          2             -562910  148391    139           
 2737  89423   88814   275          27                 3           5          2             -589821  154776    145           
 2737  89433   88824   128          32                 2           4          0             -284233  77167     184           
 2737  89433   88824   199          39                 1           4          1             -412889  111031    172           
 2737  89473   88864   212          12                 4           5          1             -439068  117416    202           
 2737  89480   88871   136          4                  6           5          0             -299849  81616     217           
 2737  89492   88883   135          3                  4           5          0             -297927  80783     225           
 2737  89534   88925   211          11                 3           5          1             -436185  117000    241           
 2737  89567   88958   137          5                  7           5          0             -302733  82032     267           
 2737  89633   89024   262          14                 1           5          2             -565793  148807    286           
 2737  89640   89031   127          31                 1           4          0             -281350  76751     303           
 2737  89652   89043   277          29                 5           5          2             -593665  155608    294           
 2737  89871   89262   276          28                 5           5          2             -591743  155608    378           
 2737  89906   89297   128          32                 1           4          0             -283272  76751     400           
 2737  89907   89298   135          3                  3           5          0             -297927  77583     401           
 2737  89927   89318   261          13                 1           5          2             -563871  148807    397           
 2737  90026   89417   136          4                  7           5          0             -300811  82032     435           
 2737  90061   89452   212          12                 3           5          1             -438107  117000    440           
 2819  91905   91296   125          21                 3           3          1             -268528  117000    8             
 2819  91939   91330   47           47                 4           1          1             -117227  117416    58            
 2819  91945   91336   41           41                 5           1          1             -104732  117832    59            
 2819  91949   91340   42           42                 5           1          2             -137375  155608    49            
 2819  91957   91348   51           3                  4           2          1             -126088  117416    72            
 2819  91973   91364   135          15                 4           3          2             -319395  155192    81            
